date,daily temperature range
2020-12-01,1.8121109008789062
2020-12-02,2.84722900390625
2020-12-03,2.8476333618164062
2020-12-04,2.4349288940429688
2020-12-07,3.24761962890625
2020-12-08,2.435516357421875
2020-12-09,1.4222488403320312
2020-12-10,2.632881164550767
2020-12-11,0.40723419189453125
2020-12-14,2.8233108520507812
2020-12-15,2.8270950317382812
2020-12-16,2.6526870727539062
2020-12-17,0.8074188232421875
2020-12-18,1.2234115600585938
2020-12-21,1.4259490966796875
2020-12-22,1.4005546569824219
2020-12-23,1.40673828125
2020-12-24,1.2030067443847585
2020-12-25,0.6032676696777344
2020-12-28,0.6043930053711009
2020-12-29,2.0310096740722656
2020-12-30,1.4061203002929688
2020-12-31,1.4140663146972585
2021-01-01,1.619201660156257
2021-01-04,2.0144805908203125
2021-01-05,3.2296524047851634
2021-01-06,2.6338844299316406
2021-01-07,3.2497406005859375
2021-01-08,2.2147903442382812
2021-01-11,3.2497406005859375
2021-01-12,2.8273544311523438
2021-01-13,2.6319503784179688
2021-01-14,2.8223800659179688
2021-01-15,1.622955322265625
2021-01-18,3.6669158935546733
2021-01-19,2.218536376953125
2021-01-20,2.6338043212890625
2021-01-21,2.642791748046875
2021-01-22,1.6046676635742188
2021-01-25,3.0505447387695312
2021-01-26,2.2425613403320312
2021-01-27,1.8112411499023438
2021-01-28,2.2264556884765625
2021-01-29,1.402801513671875
2021-02-01,3.430572509765625
2021-02-02,2.2199554443359375
2021-02-03,1.4137344360351562
2021-02-04,3.4689712524414062
2021-02-05,3.847106933593764
2021-02-08,2.8272705078125
2021-02-09,2.832855224609375
2021-02-10,2.0288925170898438
2021-02-11,1.4006500244140625
2021-02-12,2.4140701293945312
2021-02-15,2.0184860229492188
2021-02-16,2.2182159423828125
2021-02-17,2.2270965576171875
2021-02-18,2.4289779663085795
2021-02-19,1.60479736328125
2021-02-22,3.253746032714858
2021-02-23,3.685241699218736
2021-02-24,2.6193618774414062
2021-02-25,2.2408905029296875
2021-02-26,2.2505722045898438
2021-03-01,1.6147537231445312
2021-03-02,1.207489013671875
2021-03-03,1.6080856323242188
2021-03-04,1.213104248046875
2021-03-05,1.4088516235351562
2021-03-08,1.6101531982421875
2021-03-09,1.4107246398925781
2021-03-10,0.8102340698242188
2021-03-11,1.2102699279785227
2021-03-12,1.4123115539550781
2021-03-15,1.0078201293945241
2021-03-16,1.4183273315429759
2021-03-17,1.4008255004882812
2021-03-18,0.8011894226074219
2021-03-19,1.4071998596191406
2021-03-22,1.8315467834472656
2021-03-23,1.620655059814446
2021-03-24,1.6120681762695312
2021-03-25,1.6084785461425781
2021-03-26,1.8104324340820312
2021-03-29,1.2135009765625
2021-03-30,1.6281661987304688
2021-03-31,1.02545166015625
